id,"name",state_id,country_id,latitude,longitude
1,"Bangued",1,174,17.5881847,120.6314948
2,"Boliney",1,174,17.3674569,120.8728615
3,"Bucay",1,174,17.5301886,120.7234992
4,"Bucloc",1,174,17.4437463,120.8422548
5,"Daguioman",1,174,17.4361335,120.9646866
6,"Danglas",1,174,17.7449596,120.6429991
7,"Dolores",1,174,17.6507819,120.7292472
8,"La Paz",1,174,17.6477334,120.6545022
9,"Lacub",1,174,17.6893614,120.9646866
10,"Lagangilang",1,174,17.624061,120.792458
11,"Lagayan",1,174,17.7714339,120.734995
12,"Langiden",1,174,17.6038662,120.5394232
13,"Licuan-Baay",1,174,17.5785363,120.8728615
14,"Luba",1,174,17.3141801,120.6890055
15,"Malibcong",1,174,17.5969743,121.0105733
16,"Manabo",1,174,17.390888,120.734995
17,"Peñarrubia",1,174,17.5419536,120.6545022
18,"Pidigan",1,174,17.5364447,120.5624474
19,"Pilar",1,174,17.3844671,120.5854674
20,"Sallapadan",1,174,17.4925404,120.7619678
21,"San Isidro",1,174,17.4800566,120.6142365
22,"San Juan",1,174,17.6809179,120.7315061
23,"San Quintin",1,174,17.5230804,120.5163949
24,"Tayum",1,174,17.6014831,120.6775054
25,"Tineg",1,174,17.8412338,120.9417368
26,"Tubo",1,174,17.265891,120.8498944
27,"Villaviciosa",1,174,17.3939539,120.6545022
28,"Butuan City",2,174,8.9475377,125.5406234
29,"Buenavista",2,174,8.7859265,125.3685679
30,"Cabadbaran",2,174,9.1221925,125.537603
31,"Carmen",2,174,8.9387242,125.2478112
32,"Jabonga",2,174,9.3293601,125.5529398
33,"Kitcharao",2,174,9.4206582,125.620484
34,"Las Nieves",2,174,8.6651079,125.4562795
35,"Magallanes",2,174,9.0356432,125.5548422
36,"Nasipit",2,174,8.9714897,125.3518224
37,"Remedios T. Romualdez",2,174,9.0607444,125.6642155
38,"Santiago",2,174,9.2416621,125.6314191
39,"Tubay",2,174,9.2036187,125.5548422
40,"Bayugan",3,174,8.7143526,125.7480952
41,"Bunawan",3,174,8.2164674,126.0458437
42,"Esperanza",3,174,8.5655111,125.5220012
43,"La Paz",3,174,8.2611393,125.6095474
44,"Loreto",3,174,8.1140905,125.6095474
45,"Prosperidad",3,174,8.6023686,125.8716137
46,"Rosario",3,174,8.3126164,126.0036149
47,"San Francisco",3,174,8.5089765,125.9696657
48,"San Luis",3,174,8.4176023,125.5220012
49,"Santa Josefa",3,174,7.9811274,126.0240861
50,"Sibagat",3,174,8.9660918,125.7625241
51,"Talacogon",3,174,8.36972,125.8061779
52,"Trento",3,174,8.0525698,126.2196853
53,"Veruela",3,174,8.0307198,125.8934136
54,"Altavas",4,174,11.5189263,122.4580469
55,"Balete",4,174,11.5301897,122.367428
56,"Banga",4,174,11.5755637,122.3220894
57,"Batan",4,174,11.5699736,122.5259596
58,"Buruanga",4,174,11.8259677,121.9131761
59,"Ibajay",4,174,11.7518624,122.1859572
60,"Kalibo",4,174,11.6892241,122.367428
61,"Lezo",4,174,11.6750175,122.3220894
62,"Libacao",4,174,11.4109251,122.2880726
63,"Madalag",4,174,11.4617735,122.1973081
64,"Makato",4,174,11.7006146,122.2767313
65,"Malay",4,174,11.9003045,121.958687
66,"Malinao",4,174,11.6152751,122.2427
67,"Nabas",4,174,11.8517124,122.026918
68,"New Washington",4,174,11.643754,122.4127472
69,"Numancia",4,174,11.7176683,122.3390936
70,"Tangalan",4,174,11.7461613,122.2313539
71,"Legazpi City",5,174,13.1390621,123.7437995
72,"Ligao City",5,174,13.1724166,123.4943968
73,"Tabaco City",5,174,13.3240963,123.645139
74,"Bacacay",5,174,13.2958591,123.8746152
75,"Camalig",5,174,13.1658685,123.6386144
76,"Daraga",5,174,13.1028156,123.6958809
77,"Guinobatan",5,174,13.1541858,123.5504076
78,"Jovellar",5,174,13.0426153,123.5616058
79,"Libon",5,174,13.2606549,123.3710571
80,"Malilipot",5,174,13.299305,123.7182415
81,"Malinao",5,174,13.3810615,123.6399562
82,"Manito",5,174,13.0681235,123.8634544
83,"Oas",5,174,13.1739119,123.4159263
84,"Pio Duran",5,174,13.0473044,123.4607744
85,"Polangui",5,174,13.3209614,123.5056016
86,"Rapu-Rapu",5,174,13.2407755,124.041865
87,"Santo Domingo",5,174,13.2326739,123.7629465
88,"Tiwi",5,174,13.4612024,123.6399562
89,"Anini-y",6,174,10.4515207,121.958687
90,"Barbaza",6,174,11.2231318,122.0541271
91,"Belison",6,174,10.8475866,121.9871217
92,"Bugasong",6,174,11.1016314,122.1405413
93,"Caluya",6,174,12.0684185,121.3908982
94,"Culasi",6,174,11.433122,122.1064668
95,"Hamtic",6,174,10.6518851,122.0155491
96,"Laua-an",6,174,11.1637611,122.1178261
97,"Libertad",6,174,11.7802927,121.958687
98,"Pandan",6,174,11.74214,122.0994209
99,"Patnongon",6,174,10.9230273,122.0610174
100,"San Jose",6,174,10.7489069,121.9412608
101,"San Remigio",6,174,10.9071134,122.1973081
102,"Sebaste",6,174,11.5809775,122.1178261
103,"Sibalom",6,174,10.7650193,122.0610174
104,"Tibiao",6,174,11.2953463,122.0585226
105,"Tobias Fornier",6,174,10.4994417,121.9700618
106,"Valderrama",6,174,11.0652099,122.1973081
107,"Calanasan",7,174,18.2479181,121.03351
108,"Conner",7,174,17.7929294,121.2168466
109,"Flora",7,174,18.1145991,121.422761
110,"Kabugao",7,174,17.9779378,121.1252135
111,"Luna",7,174,18.2995338,121.2168466
112,"Pudtol",7,174,18.1393236,121.2855249
113,"Santa Marcela",7,174,18.291778,121.43419
114,"Baler",8,174,15.733607,121.57125
115,"Casiguran",8,174,16.2277929,122.0633195
116,"Dilasag",8,174,16.4374658,122.151897
117,"Dinalungan",8,174,16.150936,121.8790306
118,"Dingalan",8,174,15.4000077,121.3780165
119,"Dipaculao",8,174,15.984298,121.6331088
120,"Maria Aurora",8,174,15.801574,121.4594947
121,"San Luis",8,174,15.6357233,121.4684703
122,"Isabela City",9,174,6.7029445,121.969
123,"Akbar",9,174,6.6490817,122.2143323
124,"Al-Barka",9,174,6.4701228,122.1973081
125,"Hadji Mohammad Ajul",9,174,6.6197996,122.2994127
126,"Hadji Muhtamad",9,174,6.6804777,121.5826642
127,"Lamitan",9,174,6.661519,122.1064668
128,"Lantawan",9,174,6.6804777,121.5826642
129,"Maluso",9,174,6.5379641,121.8904136
130,"Sumisip",9,174,6.4829046,122.0155491
131,"Tabuan-Lasa",9,174,6.347297,121.9671034
132,"Tipo-Tipo",9,174,6.5371624,122.1632516
133,"Tuburan",9,174,6.6078625,122.2086579
134,"Ungkaya Pukan",9,174,6.5504442,122.1064668
135,"Balanga City",10,174,14.6741293,120.5112907
